Hash,Paths,Status
"{'filename': ['Windows/Program Files (x86)/Trioptics GmbH/OptiCentric 9/Resources/CommonData.zip', 'Windows/Users/trioptics/Desktop/Engineering/OptiCentric VIS-MWIR S.N 04-700-0012/OptiCentric 9 Resources/CommonData.zip'], 'hash': '906666eaea0a765352cc150164bba159eec0916c2a0394a1a96285acd50ab14f', 'status': 'N/A'}",Windows/Program Files (x86)/Trioptics GmbH/OptiCentric 9/Resources/CommonData.zip | Windows/Users/trioptics/Desktop/Engineering/OptiCentric VIS-MWIR S.N 04-700-0012/OptiCentric 9 Resources/CommonData.zip,N/A
"{'filename': ['Windows/Program Files (x86)/Trioptics GmbH/OptiCentric 9 -backup 20230614/Resources/CommonData.zip'], 'hash': 'a74c4bc15484c489917454ae6932a29db164f1245a881d5ff5fe3b1698b64e22', 'status': 'N/A'}",Windows/Program Files (x86)/Trioptics GmbH/OptiCentric 9 -backup 20230614/Resources/CommonData.zip,N/A
"{'filename': ['Windows/Program Files (x86)/Trioptics GmbH/OptiCentric 9 -backup old version/Resources/CommonData.zip'], 'hash': 'ee51fde5c035857f6a1421c9c01c4d5ff8d20a62a8f1c8d3804018037a6f07bc', 'status': 'N/A'}",Windows/Program Files (x86)/Trioptics GmbH/OptiCentric 9 -backup old version/Resources/CommonData.zip,N/A
"{'filename': ['Windows/Program Files (x86)/Trioptics GmbH/OptiCentric 9 -backup version 126RC22/Resources/CommonData.zip'], 'hash': '62173d269c9e6f2b741f605aa6c14c6e186b2282666ca8560441e699e765413d', 'status': 'N/A'}",Windows/Program Files (x86)/Trioptics GmbH/OptiCentric 9 -backup version 126RC22/Resources/CommonData.zip,N/A
"{'filename': ['Windows/Users/trioptics/Desktop/Engineering/Last Software Update/OptiCentric9_2.0.4_x86.msi', 'Windows/Windows/Installer/14293.msi'], 'hash': '5fcdeca85cff4bd911f0bcc539dc48fa47d3e793fa79a3a2c7aa403e55f6ca11', 'status': 'N/A'}",Windows/Users/trioptics/Desktop/Engineering/Last Software Update/OptiCentric9_2.0.4_x86.msi | Windows/Windows/Installer/14293.msi,N/A
"{'filename': ['Windows/Windows/SoftwareDistribution/Download/SharedFileCache/a7cf5f736daa83af3ec445e567c7640d6b9213b70771023c153d79c2e6025bd7'], 'hash': 'a7cf5f736daa83af3ec445e567c7640d6b9213b70771023c153d79c2e6025bd7', 'status': 'N/A'}",Windows/Windows/SoftwareDistribution/Download/SharedFileCache/a7cf5f736daa83af3ec445e567c7640d6b9213b70771023c153d79c2e6025bd7,N/A
"{'filename': ['Windows/Windows/SoftwareDistribution/Download/SharedFileCache/108fe4522bd5d58f41deeb7fce6a5f0c11ea793ce25caf0f1ad161f7d7805c52'], 'hash': '108fe4522bd5d58f41deeb7fce6a5f0c11ea793ce25caf0f1ad161f7d7805c52', 'status': 'N/A'}",Windows/Windows/SoftwareDistribution/Download/SharedFileCache/108fe4522bd5d58f41deeb7fce6a5f0c11ea793ce25caf0f1ad161f7d7805c52,N/A
"{'filename': ['Windows/Windows/SoftwareDistribution/Download/SharedFileCache/cd9c1674415db312d4cffd2c0b3b9931282b447ed1a22307375748519481eda3'], 'hash': 'cd9c1674415db312d4cffd2c0b3b9931282b447ed1a22307375748519481eda3', 'status': 'N/A'}",Windows/Windows/SoftwareDistribution/Download/SharedFileCache/cd9c1674415db312d4cffd2c0b3b9931282b447ed1a22307375748519481eda3,N/A
"{'filename': ['Backup/OptiCentricData/Log/OptiCentric9_SP_04-700-0012_250325_081012.zip'], 'hash': '26218279ecffc07f5d8bfcedcc0cdc31bbc997513b181f4756e45e3626447011', 'status': 'N/A'}",Backup/OptiCentricData/Log/OptiCentric9_SP_04-700-0012_250325_081012.zip,N/A
"{'filename': ['Backup/TRI07183/Backup Set 2021-11-01 120001/Backup Files 2021-11-01 120001/Backup files 3.zip'], 'hash': 'fdb562f3f6aa5849ac9636ce4af7c32368e3c6542aec448bf211756a1008efce', 'status': 'N/A'}",Backup/TRI07183/Backup Set 2021-11-01 120001/Backup Files 2021-11-01 120001/Backup files 3.zip,N/A
